ACCT_ID,COUNTRY_CODE,LANGUAGE_CODE,OPT_IN_FLAG
990548495162748934,US,en,1
3395703585349809180,CA,en,0
2560630879525487154,US,en,0
3818410044697363521,US,en,1
594815645255367653,US,en,0
3351644376103900756,US,en,1
3106624464830159235,US,en,0
2625107225428435571,US,en,0
3181238193131642193,US,en,1
464395449789565958,US,en,0
3081275198066141153,US,en,0
857546890405938621,US,en,1
2771413746333310526,CA,en,1
2742365233309860442,US,en,0
1075951735386522122,AR,en,0
1489227571803181352,US,en,1
4335364339247960938,US,en,1
902689133468638843,US,en,0
656040424433766939,US,en,1
4113264018953712813,BR,pt,1
4441920161384827588,US,en,0
451939158179446492,US,en,1
1574756549938978778,US,en,0
1009792671170034704,US,en,0
3588895942826086232,US,en,1
4526186264581879505,CA,fr,1
1451462248631874438,US,en,1
3056097275427557014,US,en,1
245839633219645963,US,en,0
3200873531805916989,US,en,0
1555307448853240171,US,en,1
4435314879124572430,CA,en,0
283647889676231095,CA,en,1
2670936215174680883,US,en,1
2477456576647557432,US,en,1
549001650763497706,US,en,0
2441144172335105327,CA,en,0
2209482256366467267,CA,en,1
683242250360547794,US,en,0
2126750032176759605,US,en,0
2720971431696238815,US,en,0
2688433987639108880,US,en,0
4504185074117525222,US,en,0
705123870585982722,CA,en,1
204351906911599879,CL,es,0
649703634910942961,US,en,0
4257214234132961707,US,en,0
1199194833087376000,US,en,0
2092762888329702451,US,en,1
1434520731176416882,US,en,1
677104467337400540,US,en,1
1930480244953080934,BR,pt,0
425761200943029777,US,en,1
1963251102161766995,CA,fr,0
2390784024508303835,US,en,1
176706377661951608,US,en,0
4595407969687546624,US,en,1
2295588071749694408,CA,en,0
2860867293704269189,US,en,0
1139663115300880795,US,en,0
163378958925925808,US,en,1
3229703994908677343,US,en,0
2094466289636198472,US,en,1
1000316177627135858,CA,fr,0
4090114254795555762,BR,pt,0
3369405950164258082,US,en,1
2684992288707598864,US,en,1
711687517467680009,CA,en,1
4086870004526723526,US,en,1
223749850362069269,CA,en,1
2738120261926941093,US,en,1
2635239867917432910,US,en,0
2679945019654081230,US,en,0
1439500910014698270,US,en,1
2441280810609409618,US,en,0
2083340932992475962,US,en,1
1966831345153365642,US,en,0
502636462981892557,US,en,1
997022465614558865,US,en,1
1242003732135922818,BR,pt,0
987960510748954232,US,en,1
1694981446224449504,US,en,0
1981046081114853377,US,en,0
1804240475535425494,US,en,0
2428129700106922521,US,en,1
657779551623661048,US,en,1
4248200654269072180,US,en,1
2723821212113993162,US,en,1
1467643521309425120,US,en,0
3758232267207516676,US,en,1
3247116814169897472,US,en,0
1895563313817398111,US,en,1
3184231874073048125,US,en,1
4540267089492316970,US,en,1
2140838113655308536,US,en,0
3014491403908542468,US,en,1
1833641453129960872,US,en,0
3019065592657391876,US,en,1
4539843934442458275,US,en,1
621946956859833544,CA,en,0
1748551058875618394,US,en,0
348164540906643611,US,en,1
129250143185613320,US,en,1
4108489401639311248,US,en,1
3589558299396874959,US,en,1
3174241797952759730,US,en,1
3390243155990939084,US,en,1
1582834478051436716,US,en,0
3756986583158381374,US,en,1
4585485657762704595,CA,en,1
2844332601120942173,US,en,0
3714786302502231543,US,en,1
1424597796838549341,US,en,1
3531868819104622297,US,en,0
3506255215904067606,US,en,0
515027898247041407,US,en,0
3732871326136401843,US,en,1
2421651116591752036,US,en,1
2449503787295298292,US,en,1
2574538493035956561,US,en,0
1267533839230311350,CA,en,0
2926345184422737326,US,en,0
4236827545596924612,US,en,0
1467996391275458538,US,en,1
1771945070117770419,US,en,1
3313077654190475890,US,en,0
131687475442679748,US,en,0
3053743570883863197,US,en,1
4416643076232802943,BR,pt,0
353585249437158208,US,en,0
4440695307084320747,US,en,1
1953111828235676302,US,en,1
4438394192592122049,US,en,0
1903821213404973959,US,en,0
2116566578920743594,US,en,0
3365519169291385363,US,en,1
240536702151136335,US,en,1
2615092341596972742,US,en,0
1583996963312697462,US,en,1
3205329646080254111,US,en,0
1634519631370487316,US,en,0
2866646146969541670,CA,en,1
21789180167943506,US,en,0
1930843239566153451,US,en,1
4132567199347968657,CA,fr,1
2671289331635425892,US,en,1
4043967826117433781,US,en,0
1001423295250323537,CA,fr,1
1012810260914765994,CL,es,1
1063642648842518915,US,en,0
1326455186164212131,US,en,0
379408390828428507,US,en,0
3494727710473404979,US,en,0
2306297260641560141,US,en,0
1785959751453229855,CA,en,0
1073635519119193242,US,en,0
532014757125284305,US,en,1
